index,tehsil_name,tehsil_code_census,tehsil_name_english,district_code,district_name,district_name_english
266,मैनपुरी,00775,Mainpuri,148,मैनपुरी,Mainpuri
267,टाण्डा,00724,Tanda,136,रामपुर,Rampur
268,बिलासपुर,00725,Bilaspur,136,रामपुर,Rampur
269,मिलक,00728,Milk,136,रामपुर,Rampur
270,शाहवाद,00727,Shahabad ,136,रामपुर,Rampur
271,सदर,00726,Rampur,136,रामपुर,Rampur
272,स्वार,00723,Suar,136,रामपुर,Rampur
273,ऊँचाहार,00828,Unchahar,158,रायबरेली,Raebareli
274,डलमऊ,00827,Dalmau,158,रायबरेली,Raebareli
275,महराजगंज,00823,Maharajganj,158,रायबरेली,Raebareli
276,रायबरेली,00825,Raebareli,158,रायबरेली,Raebareli
277,लाल गंज,00826,Lalganj ,158,रायबरेली,Raebareli
278,सलोन,00829,Salon,158,रायबरेली,Raebareli
279,बख्शी का तालाब,00820,Bakshi Ka Talab,157,लखनऊ,Lucknow
280,मलिहाबाद,00819,Malihabad,157,लखनऊ,Lucknow
281,मोहनलालगंज,00822,Mohanlalganj,157,लखनऊ,Lucknow
282,लखनऊ,00821,Lucknow,157,लखनऊ,Lucknow
283,सरोजनी नगर,01041,Sarojini Nagar,157,लखनऊ,Lucknow
284,तालबेहट,00861,Talbehat,167,ललितपुर,Lalitpur
285,पाली,01046,Pali,167,ललितपुर,Lalitpur
286,मडावरा,01047,Madawara,167,ललितपुर,Lalitpur
287,महरौनी,00863,Mahruni,167,ललितपुर,Lalitpur
288,ललितपुर,00862,Lalitpur,167,ललितपुर,Lalitpur
289,पिण्डरा,00995,Pindra,197,वाराणसी,Varanasi
290,राजा तालाब,01035,Raja Ka Talab,197,वाराणसी,Varanasi
291,सदर,00996,Varanasi,197,वाराणसी,Varanasi
292,ऊन,01039,Unn,206,शामली,Shamli
293,कैराना,00706,Kairana,206,शामली,Shamli
294,शामली,00707,Shamli,206,शामली,Shamli
295,कलान,01060,Kalan,152,शाहजहांपुर,Shahjahanpur
296,जलालाबाद,00796,Jalalabad,152,शाहजहांपुर,Shahjahanpur
297,तिलहर,00794,Tilhar,152,शाहजहांपुर,Shahjahanpur
298,पुवायाँ,00793,Powayan,152,शाहजहांपुर,Shahjahanpur
299,सदर,00795,Shahjahanpur,152,शाहजहांपुर,Shahjahanpur
300,इकौना,00924,Ikauna,181,श्रावस्ती,Shravasti
301,जमुनहा,01034,Jamunaha,181,श्रावस्ती,Shravasti
302,भिनगा,00923,Bhinga,181,श्रावस्ती,Shravasti
303,खलीलाबाद,00942,Khalilabad,186,सन्तकबीर नगर,Santkabirnagar
304,धनघटा,00943,Ghanghata,186,सन्तकबीर नगर,Santkabirnagar
305,मेहदावल,00941,Mehdawal,186,सन्तकबीर नगर,Santkabirnagar
